timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
14996000,-0.00087393966,0.010908181,-0.039503623,0.00051187834,0.00051187834,0.6994881,0.063992396,0.063992396,-0.063992396,4.0,4.0,-4.0,1.6193236,-0.004656462
15196000,-0.0025183798,0.009974582,-0.041977067,0.00051192555,0.00051192555,0.69948804,0.06399535,0.06399535,-0.06399535,4.0,4.0,-4.0,1.6191417,-0.0024584448
15396000,-0.0039994684,0.009608834,-0.04157074,0.0005119389,0.0005119389,0.69948804,0.06399618,0.06399618,-0.06399618,4.0,4.0,-4.0,1.6189692,-0.0015214703
15596000,-0.0041790553,0.00923798,-0.04353884,0.00051199005,0.00051199005,0.699488,0.06399938,0.06399938,-0.06399938,4.0,4.0,-4.0,1.6188844,-0.0007952932
15796000,-0.004414752,0.009105705,-0.04172181,0.0005119854,0.0005119854,0.699488,0.06399909,0.06399909,-0.06399909,4.0,4.0,-4.0,1.6189635,-0.0002833176
15996000,-0.0037024913,0.008421958,-0.04208499,0.000511973,0.000511973,0.69948804,0.06399831,0.06399831,-0.06399831,4.0,4.0,-4.0,1.6188301,-0.00066338875
16196000,-0.003330287,0.008457946,-0.040206987,0.00051197933,0.00051197933,0.699488,0.06399871,0.06399871,-0.06399871,4.0,4.0,-4.0,1.618629,-0.0010877091
16396000,-0.0026089817,0.009688441,-0.040466186,0.00051193684,0.00051193684,0.69948804,0.063996054,0.063996054,-0.063996054,4.0,4.0,-4.0,1.6179975,-0.0028062938
16596000,-0.0017855492,0.011034253,-0.03784105,0.0005119365,0.0005119365,0.69948804,0.06399603,0.06399603,-0.06399603,4.0,4.0,-4.0,1.6179414,-0.001177415
16796000,-0.0013213805,0.010873569,-0.038200915,0.0005119713,0.0005119713,0.69948804,0.06399821,0.06399821,-0.06399821,4.0,4.0,-4.0,1.6177645,-0.0015732254
16996000,-0.0005595934,0.011195012,-0.03536606,0.0005119551,0.0005119551,0.69948804,0.063997194,0.063997194,-0.063997194,4.0,4.0,-4.0,1.6174986,-0.0016074242
17196000,-0.0002767703,0.010685894,-0.033190105,0.00051197084,0.00051197084,0.69948804,0.06399818,0.06399818,-0.06399818,4.0,4.0,-4.0,1.6174179,-0.0006826884
17396000,0.00065906777,0.010636299,-0.028573055,0.0005119575,0.0005119575,0.69948804,0.06399734,0.06399734,-0.06399734,4.0,4.0,-4.0,1.6175855,0.00046930832
17596000,0.00034751298,0.010076302,-0.027594183,0.00051198446,0.00051198446,0.699488,0.06399903,0.06399903,-0.06399903,4.0,4.0,-4.0,1.6168797,-0.002641604
17796000,0.00064954767,0.009843416,-0.023887968,0.0005119736,0.0005119736,0.69948804,0.06399835,0.06399835,-0.06399835,4.0,4.0,-4.0,1.6163455,-0.003064322
17996000,-0.0015331637,0.0076155798,-0.02713224,0.0005119111,0.0005119111,0.6994881,0.063994445,0.063994445,-0.063994445,4.0,4.0,-4.0,1.6159927,-0.0026805026
18196000,-0.0021816315,0.0066452473,-0.02605776,0.00051198516,0.00051198516,0.699488,0.06399907,0.06399907,-0.06399907,4.0,4.0,-4.0,1.6161932,-7.0531028e-06
18396000,-0.0023613495,0.0063646315,-0.02552044,0.0005119846,0.0005119846,0.699488,0.063999034,0.063999034,-0.063999034,4.0,4.0,-4.0,1.6162071,-0.00010457882
