timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8]
8512000,8512000,0.017602837,0.019828822,3.4564084e-05,0.001,0.0,0.0,0.0,0.0,0.0
8564000,8564000,0.017336596,0.02054446,0.00031812297,0.001,0.0,0.0,0.0,0.0,0.0
8612000,8612000,0.017280085,0.019536883,0.00030689142,0.001,0.0,0.0,0.0,0.0,0.0
8664000,8664000,0.016457256,0.020049116,0.00035880515,0.001,0.0,0.0,0.0,0.0,0.0
8712000,8712000,0.017007502,0.019552989,0.00061302533,0.001,0.0,0.0,0.0,0.0,0.0
8764000,8764000,0.016947957,0.019923944,0.0006480631,0.001,0.0,0.0,0.0,0.0,0.0
8812000,8812000,0.016542062,0.020785378,0.00031246923,0.001,0.0,0.0,0.0,0.0,0.0
8864000,8864000,0.017484551,0.018787157,0.00045346376,0.001,0.0,0.0,0.0,0.0,0.0
8912000,8912000,0.018888362,0.019728338,0.000116702104,0.001,0.0,0.0,0.0,0.0,0.0
8964000,8964000,0.017020468,0.019843612,5.7094974e-05,0.001,0.0,0.0,0.0,0.0,0.0
9012000,9012000,0.017713858,0.018809376,0.00036268876,0.001,0.0,0.0,0.0,0.0,0.0
9064000,9064000,0.017936302,0.020297337,0.0002527934,0.001,0.0,0.0,0.0,0.0,0.0
9108000,9108000,0.017008219,0.019789336,0.0002641881,0.001,0.0,0.0,0.0,0.0,0.0
9164000,9164000,0.017467273,0.020299314,0.00019621072,0.001,0.0,0.0,0.0,0.0,0.0
9212000,9212000,0.017475123,0.019469379,0.00034856025,0.001,0.0,0.0,0.0,0.0,0.0
9264000,9264000,0.016877802,0.020240514,8.431391e-05,0.001,0.0,0.0,0.0,0.0,0.0
9312000,9312000,0.017128492,0.02089857,-0.0002119971,0.001,0.0,0.0,0.0,0.0,0.0
9364000,9364000,0.017106242,0.020570375,0.00025328336,0.001,0.0,0.0,0.0,0.0,0.0
9408000,9408000,0.016902385,0.020226248,-0.00015258566,0.001,0.0,0.0,0.0,0.0,0.0
9464000,9464000,0.01642597,0.020926503,0.00045180164,0.001,0.0,0.0,0.0,0.0,0.0
9508000,9508000,0.016737923,0.020326562,0.00022902463,0.001,0.0,0.0,0.0,0.0,0.0
9560000,9560000,0.017247796,0.021001048,0.00047264813,0.001,0.0,0.0,0.0,0.0,0.0
9612000,9612000,0.016844928,0.02041203,-0.00044595936,0.001,0.0,0.0,0.0,0.0,0.0
9664000,9664000,0.01676676,0.020245794,-0.00020783511,0.001,0.0,0.0,0.0,0.0,0.0
9708000,9708000,0.016980032,0.019215142,0.00023865198,0.001,0.0,0.0,0.0,0.0,0.0
9764000,9764000,0.01638754,0.021264128,0.00046658615,0.001,0.0,0.0,0.0,0.0,0.0
9812000,9812000,0.017572368,0.018980859,0.000188202,0.001,0.0,0.0,0.0,0.0,0.0
9864000,9864000,0.01589453,0.018886521,0.0003521606,0.001,0.0,0.0,0.0,0.0,0.0
9912000,9912000,0.017070496,0.018412303,-2.7943717e-05,0.001,0.0,0.0,0.0,0.0,0.0
9964000,9964000,0.016647713,0.021363342,0.00038130648,0.001,0.0,0.0,0.0,0.0,0.0
10012000,10012000,0.017125897,0.019520089,0.0001077143,0.001,0.0,0.0,0.0,0.0,0.0
10064000,10064000,0.01689742,0.01977756,0.0003302665,0.001,0.0,0.0,0.0,0.0,0.0
10112000,10112000,0.016749116,0.020080613,0.00061895105,0.001,0.0,0.0,0.0,0.0,0.0
10164000,10164000,0.017148556,0.020535283,0.0002068713,0.001,0.0,0.0,0.0,0.0,0.0
10212000,10212000,0.017158726,0.01923844,0.00046317696,0.001,0.0,0.0,0.0,0.0,0.0
10264000,10264000,0.016836641,0.018633464,0.00049173157,0.001,0.0,0.0,0.0,0.0,0.0
10312000,10312000,0.01702608,0.019284278,0.00072607526,0.001,0.0,0.0,0.0,0.0,0.0
10364000,10364000,0.01598312,0.020338291,0.00015671861,0.001,0.0,0.0,0.0,0.0,0.0
10412000,10412000,0.016297618,0.019230496,0.0005076164,0.001,0.0,0.0,0.0,0.0,0.0
10464000,10464000,0.01583151,0.020486481,0.00022411766,0.001,0.0,0.0,0.0,0.0,0.0
10512000,10512000,0.017577048,0.020096613,0.00013042524,0.001,0.0,0.0,0.0,0.0,0.0
10564000,10564000,0.016760195,0.01994993,0.0002886516,0.001,0.0,0.0,0.0,0.0,0.0
10612000,10612000,0.016224854,0.019202562,-0.00010357744,0.001,0.0,0.0,0.0,0.0,0.0
10660000,10660000,0.016346946,0.01897259,-0.00024957556,0.001,0.0,0.0,0.0,0.0,0.0
10712000,10712000,0.016911509,0.018985156,0.00067933527,0.001,0.0,0.0,0.0,0.0,0.0
10764000,10764000,0.016420037,0.018966356,-0.00013755009,0.001,0.0,0.0,0.0,0.0,0.0
10812000,10812000,0.01664387,0.019183708,5.864471e-05,0.001,0.0,0.0,0.0,0.0,0.0
10864000,10864000,0.016705476,0.018956956,-2.8642942e-06,0.001,0.0,0.0,0.0,0.0,0.0
10908000,10908000,0.016851308,0.019640813,-0.00021382899,0.001,0.0,0.0,0.0,0.0,0.0
10960000,10960000,0.016688194,0.019383693,0.00045439514,0.001,0.0,0.0,0.0,0.0,0.0
11008000,11008000,0.015755836,0.019556094,-9.739302e-05,0.001,0.0,0.0,0.0,0.0,0.0
11060000,11060000,0.017909067,0.019078847,0.00011180232,0.001,0.0,0.0,0.0,0.0,0.0
11112000,11112000,0.016866604,0.019386116,0.0003197904,0.001,0.0,0.0,0.0,0.0,0.0
11164000,11164000,0.01720584,0.020001613,0.00026301696,0.001,0.0,0.0,0.0,0.0,0.0
11212000,11212000,0.016375761,0.020140054,0.00031164242,0.001,0.0,0.0,0.0,0.0,0.0
11264000,11264000,0.01692651,0.018387878,4.169196e-05,0.001,0.0,0.0,0.0,0.0,0.0
11312000,11312000,0.016891344,0.01797582,-0.00042696096,0.001,0.0,0.0,0.0,0.0,0.0
11364000,11364000,0.015396009,0.019132296,0.0004044151,0.001,0.0,0.0,0.0,0.0,0.0
11412000,11412000,0.017013527,0.019412983,0.0005227343,0.001,0.0,0.0,0.0,0.0,0.0
11464000,11464000,0.017114148,0.019805767,0.0003429684,0.001,0.0,0.0,0.0,0.0,0.0
11508000,11508000,0.015948854,0.020158555,-8.332747e-06,0.001,0.0,0.0,0.0,0.0,0.0
11564000,11564000,0.016253466,0.019751472,0.0002112077,0.001,0.0,0.0,0.0,0.0,0.0
11612000,11612000,0.016026314,0.018547198,0.0003730326,0.001,0.0,0.0,0.0,0.0,0.0
11664000,11664000,0.016541345,0.019614208,-4.1479758e-05,0.001,0.0,0.0,0.0,0.0,0.0
11712000,11712000,0.016791312,0.019615076,-8.61524e-06,0.001,0.0,0.0,0.0,0.0,0.0
11764000,11764000,0.015619389,0.020650288,0.00036455324,0.001,0.0,0.0,0.0,0.0,0.0
11812000,11812000,0.016230294,0.01966115,-4.0865503e-05,0.001,0.0,0.0,0.0,0.0,0.0
11860000,11860000,0.015816385,0.018775046,0.0005817523,0.001,0.0,0.0,0.0,0.0,0.0
11908000,11908000,0.016081385,0.018614264,0.0001773769,0.001,0.0,0.0,0.0,0.0,0.0
11964000,11964000,0.016391627,0.018720994,0.0006925018,0.001,0.0,0.0,0.0,0.0,0.0
12012000,12012000,0.016351027,0.01877741,0.00037672775,0.001,0.0,0.0,0.0,0.0,0.0
12064000,12064000,0.016160335,0.01798274,5.528732e-05,0.001,0.0,0.0,0.0,0.0,0.0
12112000,12112000,0.015714172,0.018122539,0.00024777438,0.001,0.0,0.0,0.0,0.0,0.0
12164000,12164000,0.01566127,0.019085921,0.00057964574,0.001,0.0,0.0,0.0,0.0,0.0
12212000,12212000,0.016462114,0.019244377,0.00010329972,0.001,0.0,0.0,0.0,0.0,0.0
12260000,12260000,0.01629268,0.018861115,0.00016790918,0.001,0.0,0.0,0.0,0.0,0.0
12312000,12312000,0.01710773,0.020099264,0.00042234673,0.001,0.0,0.0,0.0,0.0,0.0
12364000,12364000,0.016218798,0.019060683,-0.0003360832,0.001,0.0,0.0,0.0,0.0,0.0
12412000,12412000,0.016254373,0.019336311,0.00021019064,0.001,0.0,0.0,0.0,0.0,0.0
12464000,12464000,0.015574611,0.019859647,0.00023888412,0.001,0.0,0.0,0.0,0.0,0.0
12512000,12512000,0.016817937,0.018321097,8.212391e-06,0.001,0.0,0.0,0.0,0.0,0.0
12564000,12564000,0.017364476,0.018915808,-0.00011952231,0.001,0.0,0.0,0.0,0.0,0.0
12612000,12612000,0.015621425,0.019970734,0.0006726051,0.001,0.0,0.0,0.0,0.0,0.0
12664000,12664000,0.016786236,0.018787887,-0.00031167647,0.001,0.0,0.0,0.0,0.0,0.0
12712000,12712000,0.015995087,0.02035958,-0.00027729524,0.001,0.0,0.0,0.0,0.0,0.0
12764000,12764000,0.015713807,0.019156197,0.00033206423,0.001,0.0,0.0,0.0,0.0,0.0
12812000,12812000,0.01562326,0.019531146,-0.0007311349,0.001,0.0,0.0,0.0,0.0,0.0
12864000,12864000,0.016812094,0.020006841,0.0001043095,0.001,0.0,0.0,0.0,0.0,0.0
12912000,12912000,0.016856324,0.019135892,0.00026792428,0.001,0.0,0.0,0.0,0.0,0.0
12964000,12964000,0.01617175,0.019235706,-6.72685e-05,0.001,0.0,0.0,0.0,0.0,0.0
13012000,13012000,0.016021792,0.019144816,7.265449e-05,0.001,0.0,0.0,0.0,0.0,0.0
13060000,13060000,0.016524015,0.018522125,-9.840705e-05,0.001,0.0,0.0,0.0,0.0,0.0
13112000,13112000,0.015197816,0.018564593,-0.00019181539,0.001,0.0,0.0,0.0,0.0,0.0
13164000,13164000,0.016509714,0.016575122,9.9527046e-05,0.001,0.0,0.0,0.0,0.0,0.0
13212000,13212000,0.016440019,0.018925767,-6.632181e-08,0.001,0.0,0.0,0.0,0.0,0.0
13264000,13264000,0.016504694,0.018551888,0.00026482655,0.001,0.0,0.0,0.0,0.0,0.0
13312000,13312000,0.015872942,0.019196624,0.00020977731,0.001,0.0,0.0,0.0,0.0,0.0
13364000,13364000,0.015982676,0.018566245,0.0002871687,0.001,0.0,0.0,0.0,0.0,0.0
13412000,13412000,0.015760735,0.019301856,9.405318e-05,0.001,0.0,0.0,0.0,0.0,0.0
13460000,13460000,0.017267553,0.018495342,0.00019802412,0.001,0.0,0.0,0.0,0.0,0.0
13508000,13508000,0.016374731,0.01782511,-0.00016004436,0.001,0.0,0.0,0.0,0.0,0.0
13560000,13560000,0.016120652,0.018311111,0.00010368026,0.001,0.0,0.0,0.0,0.0,0.0
13612000,13612000,0.016547628,0.019188417,-9.754812e-05,0.001,0.0,0.0,0.0,0.0,0.0
13660000,13660000,0.015636912,0.017641436,0.001004753,0.001,0.0,0.0,0.0,0.0,0.0
13712000,13712000,0.017190507,0.018201146,-8.044869e-06,0.001,0.0,0.0,0.0,0.0,0.0
13764000,13764000,0.016436672,0.018642979,0.00037906444,0.001,0.0,0.0,0.0,0.0,0.0
13812000,13812000,0.015276878,0.017466828,0.00011502254,0.001,0.0,0.0,0.0,0.0,0.0
13864000,13864000,0.01598501,0.019259665,0.00035952084,0.001,0.0,0.0,0.0,0.0,0.0
13908000,13908000,0.015597881,0.018386424,-4.0536423e-05,0.001,0.0,0.0,0.0,0.0,0.0
13960000,13960000,0.016631661,0.018125046,-0.0002566709,0.001,0.0,0.0,0.0,0.0,0.0
14012000,14012000,0.014505111,0.020332659,0.000121851706,0.001,0.0,0.0,0.0,0.0,0.0
14064000,14064000,0.015565372,0.017846648,0.00018098767,0.001,0.0,0.0,0.0,0.0,0.0
14112000,14112000,0.015028532,0.018891823,1.8086843e-05,0.001,0.0,0.0,0.0,0.0,0.0
14164000,14164000,0.015960287,0.018823389,0.00024975438,0.001,0.0,0.0,0.0,0.0,0.0
14212000,14212000,0.016079959,0.017339142,0.00012474418,0.001,0.0,0.0,0.0,0.0,0.0
14264000,14264000,0.01632977,0.017253924,-0.0004060031,0.001,0.0,0.0,0.0,0.0,0.0
14312000,14312000,0.016835338,0.018511431,0.00064546906,0.001,0.0,0.0,0.0,0.0,0.0
14364000,14364000,0.015655728,0.018426154,0.000107407686,0.001,0.0,0.0,0.0,0.0,0.0
14412000,14412000,0.016881123,0.018460698,0.00020532911,0.001,0.0,0.0,0.0,0.0,0.0
14460000,14460000,0.015251272,0.018924916,0.0008088914,0.001,0.0,0.0,0.0,0.0,0.0
14512000,14512000,0.015738027,0.017634949,0.00020061005,0.001,0.0,0.0,0.0,0.0,0.0
14564000,14564000,0.01661775,0.018403525,0.00012924847,0.001,0.0,0.0,0.0,0.0,0.0
14612000,14612000,0.0155107,0.017812658,0.0004715147,0.001,0.0,0.0,0.0,0.0,0.0
14664000,14664000,0.015796015,0.0189715,-0.0002107387,0.001,0.0,0.0,0.0,0.0,0.0
14712000,14712000,0.01701188,0.01917913,0.00037112515,0.001,0.0,0.0,0.0,0.0,0.0
14764000,14764000,0.016500207,0.016923243,-0.00010314106,0.001,0.0,0.0,0.0,0.0,0.0
