timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
4068000,0.00026631856,-0.007989486,-0.0018642097,4000,0,-0.026954101,0.099689186,-9.95933,4000,0,0,1,1
4072000,0.0002663156,-0.007723168,-0.001597897,4000,0,-0.028151214,0.09609787,-9.964121,4000,0,0,1,1
4076000,-0.0015978926,-0.0061252704,-0.002929482,4000,0,-0.024559902,0.110463105,-9.97609,4000,0,0,1,1
4080000,-0.003994738,-0.0039947405,-0.0039947475,4000,0,-0.014983103,0.12123701,-9.971302,4000,0,0,1,1
4088000,-0.0050600064,-0.0037284258,-0.001864212,4000,0,0.0041705077,0.082929775,-9.998835,4000,0,0,1,1
4092000,-0.0039947424,-0.0037284268,-0.0018642118,4000,0,-0.011391804,0.081732675,-9.966514,4000,0,0,1,1
4096000,-0.003728428,-0.0045273737,-0.0007989471,4000,0,-0.024559902,0.07933846,-9.964121,4000,0,0,1,1
4100000,-0.0037284251,-0.002929478,-0.0010652664,4000,0,-0.0030121058,0.081732675,-9.998835,4000,0,0,1,1
4108000,0.00026631413,-0.0063915867,0.0015979016,4000,0,-0.00899759,0.081732675,-9.986864,4000,0,0,1,1
4112000,-0.00053263037,-0.007989485,0.0010652626,4000,0,-0.026954101,0.09370368,-9.980879,4000,0,0,1,1
4116000,-0.0034621055,-0.006391589,-0.00079895667,4000,0,-0.01019469,0.133208,-9.995244,4000,0,0,1,1
4124000,-0.0031957917,-0.0034621116,-0.0034621092,4000,0,0.0053676073,0.1344051,-9.994047,4000,0,0,1,1
4128000,-0.0021305324,-0.0037284244,-0.000798947,4000,0,-0.0018150063,0.12482831,-9.983274,4000,0,0,1,1
4132000,-0.0002663198,-0.0037284244,0.0021305312,4000,0,-0.020968603,0.1200399,-9.982076,4000,0,0,1,1
4136000,0.00079894945,-0.005060005,0.0021305308,4000,0,-0.016180204,0.1152515,-9.968906,4000,0,0,1,1
4140000,-0.0002663151,-0.0053263227,0.0015978948,4000,0,0.0029734075,0.110463105,-9.956937,4000,0,0,1,1
4144000,-0.0015978965,-0.0042610597,0.0010652619,4000,0,0.0005791933,0.10088627,-9.961723,4000,0,0,1,1
4148000,-0.0013315794,-0.0061252713,0.0005326335,4000,0,0.0041705077,0.09130949,-9.968906,4000,0,0,1,1
