timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
13972000,13892000,0.99992037,-0.008299352,-0.009505115,-0.00037116747,0.0012723168,-0.0001832826,0.010029934,0.00058139674,0.00043739087,0.004009481,-9.420374e-06,-4.361361e-05,-9.129607e-07,-2.7264668e-05,2.5031139e-05,-0.0010330284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2533354e-08,0.00015502665,0.00015507311,0.00014998166,0.0008246087,0.0008244739,0.0051865214,0.00011116484,0.000111157526,0.060119614,2.4003834e-11,2.3980352e-11,3.9125003e-10,3.7499424e-06,3.750296e-06,5.000026e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
14972000,14892000,0.99992424,-0.008189581,-0.009184135,-0.00031005446,0.0020137415,-3.1166477e-05,0.0066270754,0.00054445653,-0.0001939501,0.004832848,-9.46919e-06,-4.378689e-05,-9.881298e-07,-2.9954144e-05,2.6230997e-05,-0.0010223668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1449506e-08,0.00015477503,0.00015481905,0.00013601729,0.0007437565,0.0007435708,0.0050693722,9.3119554e-05,9.310935e-05,0.056661,2.0722795e-11,2.0710713e-11,3.0170041e-10,3.749543e-06,3.7499333e-06,5.000015e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
15972000,15892000,0.99992925,-0.008027713,-0.008787235,-0.00022757119,0.004505623,-0.0026033684,0.012391254,0.003707835,-0.0003749031,0.009245777,-9.4693505e-06,-4.3787073e-05,-9.881375e-07,-2.9954144e-05,2.6230997e-05,-0.0010212623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9717796e-08,0.00015582853,0.00015587168,0.00016177818,0.06078605,0.06079368,0.008682232,0.015976576,0.015978122,0.061598036,2.1234674e-11,2.1222591e-11,3.0221242e-10,3.749543e-06,3.7499333e-06,5.0000185e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
16972000,16892000,0.99992967,-0.0081649525,-0.008612179,-0.00017107386,0.00571712,-0.008789086,0.024196804,0.008599802,-0.005488746,0.021030992,-9.469708e-06,-4.3787477e-05,-9.881876e-07,-2.9954144e-05,2.6230997e-05,-0.0010192381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9430177e-08,0.00015625873,0.00015629847,0.0001898995,0.23936391,0.23939723,0.013053197,0.23955518,0.23958954,0.0805114,2.1744752e-11,2.1732671e-11,3.0272443e-10,3.749543e-06,3.7499333e-06,5.000015e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
17972000,17892000,0.99981,0.016537799,0.009982483,0.0025953471,-0.01278249,0.028626146,-0.09931462,0.010639137,-0.01174159,0.015293198,-9.470661e-06,-4.378841e-05,-9.883682e-07,-2.9954144e-05,2.6230997e-05,-0.0010146964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2984493e-08,0.00015393931,0.0001539022,0.00022051802,0.53062177,0.53080195,0.016219342,1.177831,1.1781718,0.09985061,2.2249333e-11,2.2237287e-11,3.0323635e-10,3.749543e-06,3.7499333e-06,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
18972000,18892000,0.99972486,-0.017755436,-0.015094824,0.0026687456,-0.1004638,0.08861353,-0.5843835,-0.115442865,0.124456614,-0.42124623,-9.469347e-06,-4.3787517e-05,-9.882457e-07,-2.9954144e-05,2.6230997e-05,-0.0010095496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.799962e-08,0.0001410213,0.0001410605,0.0002531115,0.8753269,0.87578934,0.018616766,3.404739,3.4065747,0.1284496,2.2732486e-11,2.272059e-11,3.0374786e-10,3.749543e-06,3.7499333e-06,5.0000075e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
19972000,19892000,0.9997731,-0.01565478,-0.014306615,0.0020092162,0.08757028,-0.13789581,-0.64667165,-0.0928205,0.06824745,-1.0798923,-9.463341e-06,-4.378185e-05,-9.874609e-07,-2.9954144e-05,2.6230997e-05,-0.0010018239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8201007e-08,0.0001127786,0.00011276822,0.00028835947,1.074913,1.0755584,0.018326735,6.580509,6.585257,0.13522199,2.3181746e-11,2.317016e-11,3.042589e-10,3.749543e-06,3.7499333e-06,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
20972000,20892000,0.9984054,-0.05103276,0.024102192,0.0011491549,0.5542695,0.25110003,-0.39926538,0.2312955,0.14722545,-1.6318079,-9.459103e-06,-4.3786422e-05,-9.875523e-07,-2.9954144e-05,2.6230997e-05,-0.0009832536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3559927e-07,7.774207e-05,7.8441124e-05,0.0003252544,1.0295203,1.0306152,0.018763619,9.1594715,9.167891,0.15207283,2.3607918e-11,2.3596895e-11,3.0476846e-10,3.749543e-06,3.7499333e-06,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
21972000,21892000,0.9991805,0.023078794,-0.03324655,0.0006140649,0.97863525,0.86573994,0.14866602,0.529362,0.531463,-2.0960267,-9.423535e-06,-4.3825567e-05,-9.854201e-07,-2.9954144e-05,2.6230997e-05,-0.0008693065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.454332e-08,5.0153714e-05,4.9763763e-05,0.00036524868,0.8366958,0.838886,0.01754407,10.218253,10.238122,0.14349166,2.403561e-11,2.4026274e-11,3.0526684e-10,3.749543e-06,3.7499333e-06,5.0000075e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
22972000,22892000,0.9953067,0.06288408,-0.07315962,0.007608527,1.895279,2.0410652,0.73865473,1.1739637,1.4618063,-2.2984095,-9.291003e-06,-4.3920467e-05,-9.605252e-07,-2.9954144e-05,2.6230997e-05,-0.0007026599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.496587e-07,3.384063e-05,3.306715e-05,0.0004044247,0.64181906,0.6440938,0.018651735,10.155488,10.184782,0.1537957,2.4473552e-11,2.4468656e-11,3.057083e-10,3.749543e-06,3.7499333e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
23972000,23892000,0.99938613,0.012186586,-0.031099597,0.010574397,1.5744383,1.7602242,0.9065205,1.8276502,2.4465852,-2.3777568,-8.995856e-06,-4.4112e-05,-8.956573e-07,-2.9954144e-05,2.6230997e-05,-0.00046174208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.855622e-08,2.4403329e-05,2.4057314e-05,0.00045144674,0.54013985,0.5426475,0.017451566,10.626303,10.671799,0.1440405,2.4927213e-11,2.4930629e-11,3.060428e-10,3.749543e-06,3.7499333e-06,5.000022e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
24972000,24892000,0.9992801,-0.03543113,0.0067176796,0.011787165,0.11120286,0.050811294,0.5325851,1.5900095,2.101618,-2.0871084,-8.749385e-06,-4.4277556e-05,-8.196028e-07,-2.9954144e-05,2.6230997e-05,-0.00034353475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.794207e-08,1.8527311e-05,1.9368741e-05,0.00049725024,0.42133483,0.42277128,0.018050669,9.813202,9.849895,0.15310983,2.5366624e-11,2.5380609e-11,3.0626507e-10,3.749543e-06,3.7499333e-06,5.0000185e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
25972000,25892000,0.99376446,-0.037612125,0.011220782,-0.1043637,-1.5420707,-1.8136812,-0.17184347,0.34533858,0.5042169,-1.9660816,-8.647346e-06,-4.4354812e-05,-7.92282e-07,-2.9954144e-05,2.6230997e-05,-0.0003321163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.972557e-06,1.5815844e-05,1.6743701e-05,0.0005405735,0.35574472,0.3536333,0.018061584,9.0478735,9.071906,0.14185937,2.5798638e-11,2.581735e-11,3.0667655e-10,3.749543e-06,3.7499333e-06,5.000007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
26972000,26892000,0.88994545,-0.010007487,-0.0097688865,-0.4558525,-2.720427,-2.3102093,-2.3105228,-1.6149749,-1.542244,-2.4111032,-8.618213e-06,-4.44144e-05,-8.232331e-07,-2.9954144e-05,2.6230997e-05,-0.00043769114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012475654,1.4291103e-05,1.4384257e-05,0.00047561264,0.32273853,0.32798737,0.018171882,8.400339,8.410519,0.15244943,2.6205697e-11,2.6216659e-11,3.0711078e-10,3.749543e-06,3.7499333e-06,5.0000075e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
27972000,27892000,0.89003706,-0.009852431,-0.009661885,-0.4556793,-2.5704165,-2.2232711,-1.9918805,-3.5361738,-3.179222,-3.0035663,-8.222204e-06,-4.50079e-05,-9.158902e-07,-2.9954144e-05,2.6230997e-05,-0.0004403115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013575169,1.3587129e-05,1.3663169e-05,0.0005175852,0.28459185,0.28896952,0.013226298,7.8644958,7.8733597,0.13770895,2.656088e-11,2.654461e-11,3.0706296e-10,3.749543e-06,3.7499333e-06,5.0002377e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
