timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
55540000,3124000,1,1310988,6620172,1310988,197388,0.79733,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
56548000,3124000,1,1310988,6620172,1310988,197388,0.113440275,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
57004000,3124000,1,1310988,6620172,1310988,197388,1.3857719,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,0.6142281,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
57012000,3124000,1,1310988,6620172,1310988,197388,1.3857719,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,0.22845626,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
57020000,3124000,1,1310988,6620172,1310988,197388,1.3857719,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,-0.15731561,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
57028000,57028000,2,1310988,6620172,1310988,0,1.3857719,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,3,4,1,0,0,1,0,0,0,0,0,0,0
58036000,57028000,2,1310988,6620172,1310988,0,1.5669253,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,3,4,1,0,0,1,0,0,0,0,0,0,0
59044000,57028000,2,1310988,6620172,1310988,0,1.4281931,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,3,4,1,0,0,1,0,0,0,0,0,0,0
60052000,57028000,2,1310988,6620172,1310988,0,1.3734944,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,3,4,1,0,0,1,0,0,0,0,0,0,0
61060000,57028000,2,1310988,6620172,1310988,0,1.3345777,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,3,4,1,0,0,1,0,0,0,0,0,0,0
62068000,57028000,2,1310988,6620172,1310988,0,1.3082951,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,3,4,1,0,0,1,0,0,0,0,0,0,0
63012000,57028000,2,1310988,6620172,1310988,0,0.757272,nan,nan,1.0,nan,nan,nan,nan,nan,0.757272,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,3,4,1,0,0,1,0,0,0,0,0,0,0
63020000,57028000,2,1310988,6620172,1310988,0,0.757272,nan,nan,1.0,nan,nan,nan,nan,nan,0.514544,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,3,4,1,0,0,1,0,0,0,0,0,0,0
63028000,57028000,2,1310988,6620172,1310988,0,0.757272,nan,nan,1.0,nan,nan,nan,nan,nan,0.27181602,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,3,4,1,0,0,1,0,0,0,0,0,0,0
63036000,57028000,2,1310988,6620172,1310988,0,0.757272,nan,nan,1.0,nan,nan,nan,nan,nan,0.02908802,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,3,4,1,0,0,1,0,0,0,0,0,0,0
63044000,57028000,2,1310988,6620172,1310988,0,0.757272,nan,nan,1.0,nan,nan,nan,nan,nan,-0.21363997,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,3,4,1,0,0,1,0,0,0,0,0,0,0
63052000,57028000,2,1310988,6620172,1310988,0,0.757272,nan,nan,1.0,nan,nan,nan,nan,nan,-0.45636797,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,3,4,1,0,0,1,0,0,0,0,0,0,0
63060000,63060000,3,1310988,6620172,1310988,197388,0.757272,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
64068000,63060000,3,1310988,6620172,1310988,197388,0.8131941,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
65076000,63060000,3,1310988,6620172,1310988,197388,0.7020325,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
66084000,63060000,3,1310988,6620172,1310988,197388,0.66524327,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
67092000,63060000,3,1310988,6620172,1310988,197388,0.6272024,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
68100000,63060000,3,1310988,6620172,1310988,197388,0.6214361,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
69108000,63060000,3,1310988,6620172,1310988,197388,0.6348413,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
70116000,63060000,3,1310988,6620172,1310988,197388,0.6360231,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
71124000,63060000,3,1310988,6620172,1310988,197388,0.63432956,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
