timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
24984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023530679,0.0020785867,1.0070767e-11,-0.16385916,0.13694851,-9.89581,-0.0009161274,-0.0059228702,0.0010226538,0.0003974709,0.0003348561,0.00037654428,2.4000774e-06,3.4355717e-06,1.5111599e-06,11.832729,11.832729
25984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024121169,0.0021455062,1.3893935e-11,-0.16740258,0.14844069,-9.892938,-0.0012783173,-0.0057098176,4.2610478e-05,0.00033720638,0.00023310949,0.0007115067,3.9244765e-06,3.2984515e-06,1.9367055e-06,11.832729,11.832729
26984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024686756,0.0021760066,1.3200978e-11,-0.18128896,0.15725134,-9.894661,-0.0008522115,-0.005432849,0.00057524274,0.00040150256,0.00030653906,0.00049406383,3.3807235e-06,4.444588e-06,3.733454e-06,11.832729,11.832729
27984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02445019,0.0022836113,1.3626823e-11,-0.17707516,0.1583048,-9.877135,-0.0016618125,-0.004580637,0.0005539375,0.00056246266,0.0003034819,0.00032820465,4.5940014e-06,3.9954007e-06,5.1415373e-06,11.832729,11.832729
28984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02363325,0.0021629296,1.3073992e-11,-0.18837579,0.15677251,-9.875412,-0.0011291803,-0.006562029,-0.00029827422,0.0003906113,0.0011436315,0.0003011875,1.6624649e-06,5.218135e-06,3.1934837e-06,11.832729,11.832729
29984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.026429294,0.0021743008,1.3765277e-11,-0.19354726,0.15093066,-9.884702,-0.0015765914,-0.0054115434,-8.522125e-05,0.00028789026,0.00084429607,0.00063531636,2.7537533e-06,5.524528e-06,3.2313098e-06,11.832729,11.832729
30984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02535135,0.0021755393,1.2376926e-11,-0.17487249,0.1609863,-9.885659,-0.0013422333,-0.0060080914,0.00012783166,0.0004430419,0.000650261,0.00026081796,2.7452422e-06,5.9226495e-06,2.418045e-06,11.832729,11.832729
31984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024898067,0.0021813961,1.2604802e-11,-0.17937359,0.14326921,-9.881733,-0.0019600866,-0.004623248,-0.00014913711,0.00045376108,0.00061128195,0.00025645475,3.2322555e-06,4.2961196e-06,6.017215e-06,11.832729,11.832729
32984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.026629673,0.0020665561,1.0562883e-11,-0.17448942,0.13666122,-9.873304,-0.0019174761,-0.0052624065,0.00061785325,0.00041239368,0.00061235204,0.0002945785,2.1513697e-06,2.939102e-06,1.9783145e-06,11.832729,11.832729
33984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02659772,0.002270763,1.7297814e-11,-0.18942924,0.13522469,-9.873209,-0.0023009712,-0.005070659,-0.0007882958,0.00041430452,0.00048586144,0.00031909367,4.201554e-06,3.9745964e-06,4.234652e-06,11.832729,11.832729
34984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.025545465,0.0020776992,1.2499643e-11,-0.19546263,0.14891952,-9.892459,-0.002130529,-0.004942827,-1.0082052e-10,0.00035724998,0.0005106436,0.0001632162,2.5059912e-06,4.2441084e-06,3.6171377e-06,11.832729,11.832729
35984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02526937,0.0020820692,1.1508015e-11,-0.19038692,0.1426946,-9.88882,-0.0003834952,-0.005688512,0.00063915853,0.0005742329,0.0005158981,0.0003476233,2.6601333e-06,3.30318e-06,3.451648e-06,11.832729,11.832729
36984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.026176618,0.0021134834,1.29842396e-11,-0.20705056,0.15418677,-9.870432,-0.0020453078,-0.004665858,-0.00049002166,0.00044478066,0.00060426956,0.00035724544,2.6402745e-06,2.3944035e-06,3.851661e-06,11.832729,11.832729
37984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027362086,0.0021531766,1.311824e-11,-0.19383457,0.135512,-9.861334,-0.0011930963,-0.005006743,0.00040480038,0.0005218596,0.0010934176,0.00058787817,3.8128892e-06,1.5366926e-06,3.1036461e-06,11.832729,11.832729
38984000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027059928,0.0021929964,1.1665287e-11,-0.19479226,0.13809773,-9.838254,-0.0019387814,-0.005368933,-0.00036218998,0.00064577063,0.00041067408,0.00059949677,3.5670182e-06,2.2204026e-06,3.3741042e-06,11.832729,11.832729
