timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
66112000,4000000.0,1.0,17327.69,0.0,23391,0,20.916336,71,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67116000,4000000.0,1.0,17132.47,0.0,23772,0,20.916336,72,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68112000,4000000.0,1.0,17374.502,0.0,24149,0,20.916336,73,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69116000,4000000.0,1.0,16960.16,0.0,24529,0,20.916336,74,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70112000,4000000.0,1.0,17224.104,0.0,24907,0,20.916336,75,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71112000,4000000.0,1.0,16960.16,0.0,25285,0,20.916336,76,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72112000,4000000.0,1.0,17383.467,0.0,25664,0,20.916336,77,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73112000,4000000.0,1.0,17123.506,0.0,26043,0,20.916336,78,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74112000,4000000.0,1.0,17328.686,0.0,26432,0,46.81275,80,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75112000,4000000.0,1.0,17050.797,0.0,26814,0,20.916336,81,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76112000,4000000.0,1.0,17237.053,0.0,27194,0,20.916336,82,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77112000,4000000.0,1.0,17132.47,0.0,27572,0,20.916336,83,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78112000,4000000.0,1.0,17361.555,0.0,27952,0,20.916336,84,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79112000,4000000.0,1.0,16973.107,0.0,28330,0,20.916336,85,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80108000,4000000.0,1.0,17224.104,0.0,28706,0,20.916336,86,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81108000,4000000.0,1.0,16947.21,0.0,29083,0,20.916336,87,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82108000,4000000.0,1.0,17409.363,0.0,29464,0,20.916336,88,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83112000,4000000.0,1.0,17110.559,0.0,29846,0,20.916336,89,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84108000,4000000.0,1.0,17263.945,0.0,30223,0,46.81275,91,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85108000,4000000.0,1.0,16973.107,0.0,30602,0,20.916336,92,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86128000,4000000.0,1.0,17211.156,0.0,30990,0,20.916336,93,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87112000,4000000.0,1.0,17236.057,0.0,31374,0,20.916336,94,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88112000,4000000.0,1.0,17413.348,0.0,31754,0,20.916336,95,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89108000,4000000.0,1.0,16960.16,0.0,32128,0,20.916336,96,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90108000,4000000.0,1.0,17224.104,0.0,32508,0,20.916336,97,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91108000,4000000.0,1.0,16960.16,0.0,32886,0,20.916336,98,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92112000,4000000.0,1.0,17396.414,0.0,33270,0,20.916336,99,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93112000,4000000.0,1.0,17110.559,0.0,33648,0,20.916336,100,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94108000,4000000.0,1.0,17276.893,0.0,34026,0,46.81275,102,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95108000,4000000.0,1.0,16960.16,0.0,34404,0,20.916336,103,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96108000,4000000.0,1.0,17392.432,0.0,34796,0,20.916336,104,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97108000,4000000.0,1.0,17466.137,0.0,35181,0,20.916336,105,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98108000,4000000.0,1.0,17361.555,0.0,35560,0,20.916336,106,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99112000,4000000.0,1.0,16960.16,0.0,35942,0,20.916336,107,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100108000,4000000.0,1.0,17237.053,0.0,36318,0,20.916336,108,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101108000,4000000.0,1.0,16960.16,0.0,36696,0,20.916336,109,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102108000,4000000.0,1.0,17383.467,0.0,37076,0,20.916336,110,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103104000,4000000.0,1.0,17123.506,0.0,37454,0,20.916336,111,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104108000,4000000.0,1.0,17263.945,0.0,37836,0,46.81275,113,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105108000,4000000.0,1.0,16960.16,0.0,38213,0,20.916336,114,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106104000,4000000.0,1.0,17237.053,0.0,38594,0,20.916336,115,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107104000,4000000.0,1.0,17213.148,0.0,38974,0,20.916336,116,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108108000,4000000.0,1.0,17374.502,0.0,39353,0,20.916336,117,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109104000,4000000.0,1.0,16973.107,0.0,39732,0,20.916336,118,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110104000,4000000.0,1.0,17211.156,0.0,40111,0,20.916336,119,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111104000,4000000.0,1.0,16960.16,0.0,40489,0,20.916336,120,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112104000,4000000.0,1.0,17409.363,0.0,40870,0,20.916336,121,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113104000,4000000.0,1.0,17179.283,0.0,41247,0,20.916336,122,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114104000,4000000.0,1.0,17195.219,0.0,41629,0,46.81275,124,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115104000,4000000.0,1.0,17041.834,0.0,42007,0,20.916336,125,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116104000,4000000.0,1.0,17142.432,0.0,42387,0,20.916336,126,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117104000,4000000.0,1.0,17214.145,0.0,42764,0,20.916336,127,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118100000,4000000.0,1.0,17323.705,0.0,43147,0,20.916336,128,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119100000,4000000.0,1.0,17135.459,0.0,43525,0,20.916336,129,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120104000,4000000.0,1.0,17142.432,0.0,43904,0,20.916336,130,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121100000,4000000.0,1.0,17041.834,0.0,44283,0,20.916336,131,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122100000,4000000.0,1.0,17314.742,0.0,44662,0,20.916336,132,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123100000,4000000.0,1.0,17192.232,0.0,45040,0,20.916336,133,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124100000,4000000.0,1.0,17195.219,0.0,45422,0,46.81275,135,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125104000,4000000.0,1.0,17041.834,0.0,45800,0,20.916336,136,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126100000,4000000.0,1.0,17129.482,0.0,46180,0,20.916336,137,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127100000,4000000.0,1.0,17227.092,0.0,46558,0,20.916336,138,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128100000,4000000.0,1.0,17279.88,0.0,46938,0,20.916336,139,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129100000,4000000.0,1.0,17041.834,0.0,47315,0,20.916336,140,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130100000,4000000.0,1.0,17155.379,0.0,47696,0,20.916336,141,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131100000,4000000.0,1.0,17028.885,0.0,48073,0,20.916336,142,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132100000,4000000.0,1.0,17314.742,0.0,48453,0,20.916336,143,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133100000,4000000.0,1.0,17280.877,0.0,48834,0,20.916336,144,0,0,0,0,0.0,0,0,0,1,1,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
